### ELECTROPLATING PARAMETERS ###
#Plating Start Time (month_day_year hr_min_sec): 	07_25_2022 19_02_58
#Power Supply: 		Agilent E3631A
#Max Voltage: 		18.0
#Set Current: 		0.35
#N2 Purge (Use Solenoid)?: 		


07_25_2022 19_02_58	 Power Supply Queried	 V: 5.999987196729735	 I: 0.011064905839960226
07_25_2022 19_03_05	 Power Supply Queried	 V: 6.00481789043218	 I: -0.007611654634756548
07_25_2022 19_03_10	 Power Supply Queried	 V: 6.045827501663385	 I: 0.2658660209957505
07_25_2022 19_03_15	 Power Supply Queried	 V: 6.048590543320899	 I: 0.5544631546513071
07_25_2022 19_03_20	 Power Supply Queried	 V: 6.093551968397536	 I: 0.6992052919915436
07_25_2022 19_03_25	 Power Supply Queried	 V: 6.087196185021969	 I: 0.763391640986608
07_25_2022 19_03_30	 Power Supply Queried	 V: 6.127170546058563	 I: 1.0995460387285863
07_25_2022 19_03_35	 Power Supply Queried	 V: 6.101172928829143	 I: 1.2410165290566055
07_25_2022 19_03_41	 Power Supply Queried	 V: 6.070510874615918	 I: 1.6869033856438727
07_25_2022 19_03_46	 Power Supply Queried	 V: 6.080440063762605	 I: 1.1489356870753742
07_25_2022 19_03_51	 Power Supply Queried	 V: 6.039631449481752	 I: 1.6635918295345964
07_25_2022 19_03_56	 Power Supply Queried	 V: 6.004767773842069	 I: 1.5048040390232256
07_25_2022 19_04_01	 Power Supply Queried	 V: 6.012910754150348	 I: 2.2775339883669825
07_25_2022 19_04_02	 Standard Notification Sent
07_25_2022 19_04_09	 Power Supply Queried	 V: 6.04172082930005	 I: 2.2761760159218145
07_25_2022 19_04_14	 Power Supply Queried	 V: 6.0455736108222	 I: 1.7648618859328318
