### ELECTROPLATING PARAMETERS ###
#Plating Start Time (month_day_year hr_min_sec): 	07_25_2022 17_15_00
#Power Supply: 		Agilent E3631A
#Max Voltage: 		18.0
#Set Current: 		0.35
#N2 Purge (Use Solenoid)?: 		


07_25_2022 17_15_00	 Power Supply Queried	 V: 6.034756177202913	 I: 0.9224617565514234
07_25_2022 17_15_06	 Power Supply Queried	 V: 6.043058884825719	 I: 1.462152824301155
07_25_2022 17_15_11	 Power Supply Queried	 V: 6.035743026589833	 I: 0.6214603099250853
07_25_2022 17_15_16	 Power Supply Queried	 V: 6.080631362972632	 I: 1.0043691876110803
07_25_2022 17_15_21	 Power Supply Queried	 V: 6.077669280033908	 I: 0.1681587288469697
07_25_2022 17_15_26	 Power Supply Queried	 V: 6.046896816773942	 I: 1.1381332059991351
07_25_2022 17_15_31	 Power Supply Queried	 V: 6.075631614198114	 I: 0.8683014508011944
07_25_2022 17_15_41	 Power Supply Queried	 V: 6.008431047884067	 I: -0.566141866372529
07_25_2022 17_15_46	 Power Supply Queried	 V: 5.9600996861391256	 I: 0.3829420732547818
07_25_2022 17_15_51	 Power Supply Queried	 V: 5.97710551805171	 I: 0.9037046452043908
07_25_2022 17_15_56	 Power Supply Queried	 V: 5.981587170443459	 I: 0.739212015444669
07_25_2022 17_16_01	 Power Supply Queried	 V: 5.943658609052174	 I: 0.8152411886018182
07_25_2022 17_16_07	 Power Supply Queried	 V: 5.931383711827935	 I: 1.0997755536871083
07_25_2022 17_16_12	 Power Supply Queried	 V: 5.939287119159293	 I: 0.976239283853757
07_25_2022 17_16_13	 Standard Notification Sent
07_25_2022 17_16_19	 Power Supply Queried	 V: 5.8999177320052105	 I: 1.3971934664221162
07_25_2022 17_16_24	 Power Supply Queried	 V: 5.9279734446979555	 I: 0.6808115762818983
